name,parameter_name,sensitivity_rank,npv_impact_pct,npv_impact_elasticity,breakeven_margin,tier,composition,fromula,assumption_rationale,plain_explanation,notes,symbol,unit,value,range_min,range_max,source_names,source_urls
Formal Sector Placement (Apprenticeship),P_FORMAL_APPRENTICE,1,56.7,1.02,100,1,CT2,"E[Wage_apprentice] = 0.72 × (Wage_formal × (1 + premium_t)) + 0.28 × Wage_informal. Year 1: 0.72 × ₹46,685 + 0.28 × ₹13,425 = ₹37,372/month.","VALIDATED with RWF's actual apprentice outcomes tracking (Nov 2025), replacing previous MSDE administrative estimate of 75%. RWF's direct operational data addresses concerns about reporting bias and cream-skimming in MSDE numbers.
This represents the empirically observed placement rate from their program implementation","72% of completers get formal jobs (RWF actual data Nov 2025). **Model application:** Expected wage = 0.72 × formal_wage × (1+premium) + 0.28 × informal_wage. Compared to control's 10% formal rate, this 62-percentage-point improvement is the PRIMARY driver of apprenticeship NPV. The 72% formal access matters MORE than the vocational wage premium because it gives 7.2× higher access to the 2.25× formal multiplier.",VALIDATED WITH RWF ACTUAL DATA (72%). Replaces MSDE 75% estimate. Combined with 85% completion: P(Formal|Started) = 61.2%. NO EXTERNAL VALIDATION found in MSDE reports. The 72% vs 10% differential (7.2× improvement) is the dominant NPV driver—more impactful than wage premiums. Tracer study recommended for external validation.,P(F|App),probability,0.68,0.5,0.9,RWF internal data; [1] dgt_msde_2024_tracer_study_iti_employment_outcomes.pdf; [3] 2023_tracer_study_iti_graduates.pdf; [4] ILO_2022_good_practices_apprenticeships_india.pdf; NPC Evaluation of NAPS (2021); Apprentices Act 1961 Section 18.,
Formal Sector Entry Probability (RTE Graduates),P_FORMAL_RTE,1,95.7,0.96,100,1,CT2,"E[Wage_RTE] = P_FORMAL_RTE × (formal_wage × mincer_premium) + (1-P_FORMAL_RTE) × (informal_wage × mincer_premium). With P=0.30: 30% formal, 70% informal, both with 6.7% education quality premium.","NEW Jan 2026 (Anand guidance): RTE graduates from quality private schools have higher formal sector entry than national 9.1% baseline. Rationale: (1) Selection effects in RTE families, (2) Urban concentration of RTE schools, (3) Private school networks and credential signaling. Anand/Shipra guidance: 70% too high, 30-40% defensible.","30% of RTE graduates enter formal sector (vs 9.1% national baseline). This 3.3x improvement reflects: private school quality, family motivation, urban networks. Combined with Mincer premium (6.7% from education quality), creates substantial wage differential.","NEW Jan 2026: Separate parameter for RTE formal entry (was using national baseline 9.1%). Range 20-50% reflects uncertainty: 20% = minimal selection effect, 30% = moderate (RECOMMENDED), 50% = strong selection and network effects. Anand capped at 50% (70% rejected as too high).",P(F|RTE),probability,0.3,0.2,0.5,RWF Assumption based on Anand guidance Dec 2025; Selection effects literature,
Mincer Return (Higher Secondary),MINCER_RETURN_HS,4,18.9,0.33,100,2,CT2,5% (lowest quantile) to 9% (highest quantile). Midpoint 7%. Mitra (2019) via Chen et al. (2022):,"Chen et al. (2022) using PLFS 2018-19 reports 5.8% for regular/salaried workers. This is methodologically consistent with our PLFS 2023-24 wage data. Mitra (2011-12) quantile regression shows 5-9% range. Historical estimates (Duraisamy 1993, Agrawal 2005) showed 9-12% but reflect pre-expansion education market.","Each additional year of higher secondary education increases wages by ~5.8% for formal sector workers. Returns are much lower (even negative) for informal/casual workers, explaining why formal sector access is the key driver of intervention value.","CRITICAL: Returns differ by employment type (Chen et al.): Regular 5.8%, Self-employed 2.7%, Casual -1.4%. Declining trend over time reflects educational expansion outpacing formal job creation. Range 5-8% captures quantile heterogeneity (Mitra) while excluding outdated 9%+ estimates.",β₁,proportional increase per year,0.058,0.05,0.08,Chen et al. 2022 (PLFS 2018-19); Duraisamy 2002; Agrawal 2012 (IHDS); Mitra 2019,
Real Wage Growth Rate (Formal Sector),REAL_WAGE_GROWTH_FORMAL,3,29.6,0.22,100,2,CT2,wage_t = wage_0 × (1 + 0.015)^t. At t=40: wage = wage_0 × 1.81 (81% cumulative growth),"NEW Jan 2026 (Anand guidance): Formal sector workers see career progression through promotions (every 3-5 years), seniority increments (5-7% nominal = 1-2% real), and skill acquisition. Even during PLFS 2020-24 aggregate stagnation, formal workers progressed within firms.","Formal workers see 1.5% annual real wage growth. Over 40-year career: wages grow 81% in real terms. Reflects: promotions, seniority increments, EPF accumulation, union bargaining.","NEW Jan 2026: Sector-specific growth rate. Range 0.5-2.5% captures: 0.5% (minimal progression), 1.5% (moderate with promotions), 2.5% (strong career growth). Growing inequality evidence: Gini 35.7 (2011) → 47.9 (2021).",g_formal,annual growth rate,0.015,0.005,0.025,PLFS 2020-24 formal sector trends; India inequality literature; Anand guidance Dec 2025,
Apprenticeship Intervention Initial Wage Premium,APPRENTICE_INITIAL_PREMIUM,5,18.3,0.22,100,1,CT1,"Premium = [Expected Wage Treatment] - [Expected Wage Control]

Treatment pathway (WITH apprenticeship):
  E[W_treatment] = P(F|App) × W_formal + (1-P(F|App)) × W_informal


Control pathway (WITHOUT apprenticeship):
  E[W_control] = P(F|NoTrain) × W_formal + (1-P(F|NoTrain)) × W_informal


W_formal = ₹18,500 (PLFS 2023-24)
W_informal = ₹18,500 / 2.25 = ₹8,222
P(F|App) = 0.72
P(F|NoTrain) = 0.09","E[W_treatment] - E[W_control] using P(F|App)=0.72, P(F|NoTrain)=0.09, formal multiplier=2.25x. W_formal=₹18,500/mo from PLFS 2023-24 rural male secondary-educated workers.","Annual wage advantage for apprenticeship graduates vs untrained peers, accounting for differential formal sector entry rates (72% vs 9%) and formal-informal wage gap (2.25x).","Stress-tested Jan 2025. Wage levels updated to PLFS 2023-24. Original ₹84,000 validated within range. Sensitivity: ₹69K-85K based on P(F|App) range 65-78%.",π→π_App,INR/year,78000,69000,85000,PLFS_Annual_Report_23_24; MSDE_annual_report_22_23; ILO_India_Employment_Report_2024; Press_Information_Bureau_Workforce_Report,
RTE Private School Test Score Gain,RTE_TEST_SCORE_GAIN,5,11.6,0.16,100,1,BASE,equivalent_years = 0.23 × TEST_SCORE_TO_YEARS = 0.23 × 6.8 = 1.56 years → wage_premium = exp(MINCER × 1.56) = exp(0.07 × 1.56) = 1.115 (+11.5%),Based on NBER RCT (w19441) in Andhra Pradesh showing 0.23 SD test score gain from private school attendance. VALIDATED Jan 2026: Core 0.23 SD value confirmed. TIER 1 weakness: External validity uncertain—AP private schools may differ from other states.,"Private school students score 0.23 SD higher on tests. **MODEL CHAIN: 0.23 SD × 6.8 years/SD = 1.56 equivalent years → exp(0.07 × 1.56) = 11.5% wage premium.** However, with only 9.1% reaching formal employment, this premium mostly applies to informal wages (90.9% of graduates). The test score → earnings chain: 0.23 SD → 1.56 years → 11.5% premium → weighted by P_FORMAL for expected wage.","VALIDATED Jan 2026. MODEL CHAIN: test_score (0.23 SD) × conversion (6.8) = equivalent_years (1.56) → exp(Mincer × years) = wage_premium (1.115). ITT alternative: 0.137 SD would yield 0.93 years → 6.7% premium. Subject heterogeneity: Hindi 0.55 SD, English 0.12 SD, Math 0 SD. Range 0.10-0.35 reflects tier variation.",Δ_RTE,standard deviations,0.137,0.1,0.35,muralidharan_sundararaman_2013_aggregate_effect_school_choice;   epple_romano_2015_school_vouchers_economics_literature,
Test Score to Years of Schooling Conversion Factor,TEST_SCORE_TO_YEARS,6,9.2,0.16,100,2,CT2,equivalent_years = RTE_TEST_SCORE_GAIN × 6.8 → wage_premium = exp(MINCER_RETURN_HS × equivalent_years) = exp(0.07 × 1.56) = 1.115,Updated Jan 2026: Angrist & Evans (2020) report range of 4.7-6.8 years/SD based on rescaling analysis. Using 6.8 as updated estimate per micro-LAYS methodology. India-specific NOT available but more current conversion factor improves accuracy.,"This parameter bridges test scores to wages. **Complete model chain: 0.23 SD test gain × 6.8 years/SD = 1.56 equivalent years → Mincer equation → exp(0.07 × 1.56) = 11.5% wage boost.** The 6.8 value (vs previous 4.7) means each SD of test improvement translates to more equivalent schooling. CAVEAT: Assumes test scores → degree completion, but employers see credentials, not scores.","UPDATED Jan 2026: Value 4.7→6.8, Range 4.0-8.0. For RTE: 0.23 × 6.8 = 1.56 years (vs old 1.08). Combined with Mincer 7%: wage premium = 11.5% (vs old 6.5%). India-specific NOT AVAILABLE. CONCERN: Missing link between test scores and actual completion rates—effect only realized if higher scores → higher graduation rates.",years/SD,years per standard deviation,6.8,4,8,angrist_evans_2020_improve_education_outcomes_efficiently  |   evans_yuan_2019_equivalent_years_schooling_learning_gains  |   angrist_etal_2021_measuring_human_capital_learning_data,https://documents1.worldbank.org/curated/en/801901603314530125/pdf/How-to-Improve-Education-Outcomes-Most-Efficiently-A-Comparison-of-150-Interventions-Using-the-New-Learning-Adjusted-Years-of-Schooling-Metric.pdf  |   https://documents1.worldbank.org/curated/en/123371550594320297/txt/WPS8752.txt  |   https://www.nature.com/articles/s41586-021-03323-7
Experience Premium (Linear),EXPERIENCE_LINEAR,6,8.6,0.11,100,3,CT2,Mincer regression coefficient β₂ = 0.885%/year,"Estimated from PLFS 2023-24 by regressing log(wage) on years of experience for workers with higher secondary education, controlling for gender and urban/rural. The 0.885%/year is dramatically lower than literature values (4-6%).",Each year of work experience adds only 0.885% to wages—a collapse of 78% from historical estimates. This means wages grow very slowly even with experience: a worker's salary barely increases over their career.,"MAJOR FINDING: Experience premiums collapsed 78% from literature (0.04-0.06). Reflects wage stagnation in informal sector, flat profiles in formal sector, youth not seeing wage growth older cohorts experienced. Peak earnings occur later (age 50-55) vs earlier (40-45).",β₂,proportional increase per year,0.00885,0.005,0.012,PLFS_Annual_Report_23_24  |   azam_2012_wage_structure_urban_india_quantile_regression  |   vasudeva_dutta_2007_returns_education_evidence_india,https://dge.gov.in/dge/sites/default/files/2024-10/Annual_Report_Periodic_Labour_Force_Survey_23_24.pdf  |   https://reader.z-library.sk/read/b97d6d3940b3ad5222991456dbf371f73c662f12e18d4aadfd8489a31f0e2d93/46105828/576112/changes-in-wage-structure-in-urban-india-19832004-a-quantile-regression-decomposition.html?client_key=1fFLi67gBrNRP1j1iPy1&extension=pdf&signature=233e708de7cb6813350f1b8600b93269e9451284340aae51c273be44b53e35ca&download_location=https%3A%2F%2Fz-library.sk%2Fdl%2F46105828%2F85d64c  |   https://reader.z-library.sk/read/be862b67e12be59a46f2aae076417645685ad05ebdf6c5383ac600eb03b70c06/53730875/bc553d/returns-to-education-new-evidence-for-india-19831999.html?client_key=1fFLi67gBrNRP1j1iPy1&extension=pdf&signature=b9ef37d470ac45558c7dfbe5dabd098065e75891a21546380aabd89500993b4b&download_location=https%3A%2F%2Fz-library.sk%2Fdl%2F53730875%2Feae220
Apprenticeship Wage Premium Decay Half-Life,APPRENTICE_DECAY_HALFLIFE,4,21.3,0.05,100,1,BASE,premium_t = APPRENTICE_INITIAL_PREMIUM × exp(-ln(2) × t / 10). At t=10: premium = 0.5 × initial. At t=20: premium = 0.25 × initial.,"No India-specific longitudinal data exists. International proxies suggest 15-20 years for well-designed programs (Colombia JeA: 15+ years sustained; Germany dual system: 15-20 years). Conservative 12-year estimate reflects: (1) NATS is structured formal program suggesting career lock-in effect, (2) uncertainty about India labor market dynamics, (3) potential faster skill obsolescence in rapidly changing sectors.","After completing apprenticeship, the wage advantage decays over time as skills become outdated. A 12-year half-life means the premium halves every 12 years. International evidence suggests well-designed programs maintain benefits for 15-20 years; we use 12 years as a conservative estimate for India given limited local data.","TIER 1 GAP: No India-specific longitudinal studies. International evidence suggests: Colombia (15+ years), Germany (15-20 years). Range captures skill depreciation (5 years) to permanent career lock-in (50 years). The 12-year central value is conservative relative to international benchmarks but acknowledges uncertainty about NATS quality and India labor market dynamics.",h,years,12,5,30,"[1] ILO_India_Employment_Report_2024, [2] attanasio_guarin_2017_vocational_training_disadvantaged_youth_colombia; [3] card_kluve_2017_meta_analysis_labor_market_programs;",
Experience Premium (Quadratic),EXPERIENCE_QUAD,8,3.8,0.03,100,3,CT2,PLFS 2023-24 Mincer regression coefficient β₃ = -0.000123,"Estimated from PLFS 2023-24 age-wage profiles. The negative value captures diminishing returns to experience—wages grow more slowly as careers progress. Less negative than literature (-0.001), indicating flatter wage profiles.",Wages grow more slowly as you get older—this quadratic term captures that 'flattening' effect. The very small negative value means Indian wage profiles are flatter than in other countries.,"Less negative than literature (-0.001), indicating less concavity. Wage-age profile flatter overall: peak earnings occur later, less decline post-peak. Combined with low β₂, overall earnings growth is minimal. LOW impact on NPV relative to β₁ and β₂.",β₃,proportional change per year²,-0.000123,-0.0002,-0.00005,PLFS_Annual_Report_23_24  |   duraisamy_2002_returns_education_india_gender_location  |   madheswaran_2007_caste_discrimination_indian_labour_market  |   PLFS_annual_report_summary_2023_2024,https://dge.gov.in/dge/sites/default/files/2024-10/Annual_Report_Periodic_Labour_Force_Survey_23_24.pdf  |   https://reader.z-library.sk/read/744c8588a8ce83b1368f54b758013d1d10e8df8a7434e076aee81ac1935302d9/50081516/2b3cac/changes-in-returns-to-education-in-india-198394-by-gender-agecohort-and-location.html?client_key=1fFLi67gBrNRP1j1iPy1&extension=pdf&signature=6c8e0f1f3e47dcc910031acf08ca30115639ed113e4d3321941f1ba145e440dd&download_location=https%3A%2F%2Fz-library.sk%2Fdl%2F50081516%2Fa299f1  |   https://reader.z-library.sk/read/1682ac9a469d91dae35e198b9eea684361de8aeff72ad378c90ec851486056a8/38997355/32efec/caste-discrimination-in-the-indian-urban-labour-market-an-econometric-analysis.html?client_key=1fFLi67gBrNRP1j1iPy1&extension=pdf&signature=82b4d0eb44801d2cf80ce4e88a78abfb8f90293b1d77399361277d65911c366c&download_location=https%3A%2F%2Fz-library.sk%2Fdl%2F38997355%2F5ab4a6  |   https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2
Apprenticeship Monthly Stipend,APPRENTICE_STIPEND_MONTHLY,11,1.3,0.02,N/A,3,BASE,"Gazette notification 2019: ₹5,000-9,000/mo based on educational qualification",Updated Jan 2026: Per Gazette notification dated 25th September 2019 (Table 5.50 in MSDE Report). Stipend rates by education: Class 5-9 pass: ₹5000; Class 10 pass: ₹6000; Class 12 pass: ₹7000; Certificate/Diploma: ₹8000; Graduate: ₹9000. Midpoint ₹7000 used.,"Apprentices receive about ₹7,000 per month during their training year—less than they could earn in informal work, but they gain valuable skills and a much better chance at a formal sector job. Updated from ₹10,000 based on validated Gazette rates.","UPDATED Jan 2026: Value ₹10,000→₹7,000. Range ₹7,500-12,500→₹5,000-9,000. Source: Gazette notification 2019. Rates by qualification: Class 5-9: ₹5k; Class 10: ₹6k; Class 12: ₹7k; Certificate: ₹8k; Graduate: ₹9k. Government reimburses 25% (max ₹1,500/mo). Annual: ₹7,000×12=₹84,000/year.",S_app,INR/month,13205,11000,15000,MSDE_annual_report_23-24  |   Gazette_notification_2019,https://www.msde.gov.in/static/uploads/2024/11/4f71465f72e9f90ff079f76ca2e374a9.pdf  |   https://www.msde.gov.in/static/uploads/2024/04/Guidelines-for-NAPS.pdf
[DEPRECATED] Formal vs. Informal Wage Multiplier (Total Compensation),FORMAL_MULTIPLIER,10,0,0,100,2,CT2,"[DEPRECATED Jan 2026] benefits_adjustment ELIMINATED. PLFS wages are now SSOT: Urban Male Formal ₹32,800 / Informal ₹13,425 = 2.44× embedded ratio.",[DEPRECATED] Jan 2026: Anand guidance - model was over-specified. PLFS wages ALREADY differentiate by sector (2.44× ratio exceeds ILO 2.25× target). No additional benefits_adjustment needed. Parameter retained for documentation only - NOT used in calculations.,[DEPRECATED] Previously used to adjust formal sector wages by 1.21× (= 2.25/1.86). ELIMINATED because PLFS wages already capture formal/informal differential. Model now uses PLFS wages directly as Single Source of Truth.,"DEPRECATED Jan 2026: benefits_adjustment = target_ratio / embedded_ratio NO LONGER APPLIED. Reason: Over-specification - 3 inconsistent data sources (PLFS formal wage, PLFS informal wage, ILO multiplier). PLFS embedded ratio (2.44×) already exceeds ILO target (2.25×). Keeping 2.25× inflated formal wages by 21%.",lambda_formal,multiplier,2.25,2,3,ILO India Wage Report 2018; ILO Global Wage Report 2024-25; Akhter & Negi (2022) formality wage decomposition,
Formal Sector Entry Probability (Higher Secondary),P_FORMAL_HIGHER_SECONDARY,11,0,0,N/A,1,CT2,"E[Wage] = P_FORMAL_HS × (base_wage × education_premium) + (1-P_FORMAL_HS) × (informal_wage × education_premium). With P=0.091: 9.1% get formal benefits, 90.9% stay informal.",Updated Jan 2026: ILO India Employment Report 2024 shows only 9.1% of youth with secondary/higher secondary education were in formal employment in 2022. This is the NATIONAL BASELINE for HS graduates (control group).,"Only 9.1% of HS graduates get formal jobs (ILO 2024). This is the NATIONAL BASELINE used for control group calculations. For RTE graduates, use P_FORMAL_RTE instead (higher due to selection effects and private school networks).","UPDATE Jan 2026: Value corrected to 0.091 (was incorrectly showing 0.3). This is NATIONAL BASELINE for control group. State variation: Bihar ~3%, Bangalore ~15%. Compare: 36.1% formal for college graduates. RTE graduates use separate P_FORMAL_RTE parameter.",P(F|HS),probability,0.091,0.05,0.15,ILO_India_Employment_Report_2024,
Formal Sector Entry Probability (Secondary),P_FORMAL_SECONDARY,12,0,0,N/A,1,CT2,PLFS 2023-24. formal_secondary / total_secondary = 12%,"Estimated from PLFS 2023-24 data, lower than higher secondary (0.20) as expected. Used for counterfactual scenarios modeling RTE dropouts who complete only 10th grade.","Youth with only 10th grade have about 12% chance of formal employment—lower than 12th grade (20%), showing the value of completing higher secondary education.",Lower than higher secondary (20%). Used for counterfactual scenarios (e.g. RTE dropouts completing only 10th grade).,P(F|S),probability,0.12,0.08,0.15,PLFS_annual_report_summary_2023_2024  |   ilo.org  |   worldbank.org,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2  |   https://www.ilo.org/publications  |   https://www.worldbank.org/en/country/india/publication/india-development-update
Real Wage Growth Rate (Informal Sector),REAL_WAGE_GROWTH_INFORMAL,8,4.5,-0.01,100,2,CT2,wage_t = wage_0 × (1 - 0.002)^t. At t=40: wage = wage_0 × 0.92 (8% cumulative decline),"NEW Jan 2026 (Anand guidance): Informal sector wages stagnate or decline due to: no structured progression, competition from younger/cheaper workers, automation pressure, no inflation adjustment in cash payments. Growing inequality means informal falls behind.","Informal workers see -0.2% annual real wage growth (slight decline). Over 40-year career: wages decline 8% in real terms. No promotions, no unions, replaced by younger workers.","NEW Jan 2026: Sector-specific growth rate. Range -1.0% to +0.5% captures: -1.0% (gig economy race-to-bottom), -0.2% (moderate decline), +0.5% (rare high-growth periods). May be negative due to oversupply of low-skilled labor.",g_informal,annual growth rate,-0.002,-0.01,0.005,PLFS 2020-24 informal stagnation; India inequality literature; Anand guidance Dec 2025,
Formal Sector Entry Probability (Youth Without Vocational Training),P_FORMAL_NO_TRAINING,7,6.7,-0.07,100,1,CT2,PLFS 2023-24 youth 18-25 without vocational training. formal/total = 10%,Derived from PLFS employment distribution for youth age 18-25 with 10th/12th pass but NO vocational certification. This is the COUNTERFACTUAL for apprenticeship—what happens without intervention.,"Without any training, only 10% of youth get formal jobs—so apprenticeship's 72% placement rate represents a 62 percentage point improvement. If this baseline were actually 15%, the apprenticeship effect would be overstated.","This is the COUNTERFACTUAL for apprenticeship. The probability of youth without vocational training entering the formal sector in India is 9.1% as of 2022. This probability is lower compared to those with formal or informal vocational training, which stands at 13.2% and 11.2%, respectively. 

Regarding regional variations, the probability of formal sector entry for youths without vocational training varies significantly across regions. For instance, in 2022, the probability was higher in the South (12.3%) and West (12.7%) compared to the Central (9.4%), East (8.6%), and North (6.0%) regions.",P(F|NoTrain),probability,0.09,0.05,0.15,ILO_India_Employment_Report_2024,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2annual-report-plfs-2022-23  |   https://www.ilo.org/asia/publications/india-employment-report-2024  |   https://www.worldbank.org/en/country/india/publication/india-development-update
Social Discount Rate,SOCIAL_DISCOUNT_RATE,2,54.5,-1.16,100,2,CT2,Ramsey formula p + vg = 8.5%.,Updated Jan 2026: Murty & Panda (2020) derive 8.5% using original Ramsey formula (p + vg) for Indian public sector projects. Alternative extended formula yields 6%. The 8.5% is used as primary estimate for long-run investment projects.,Future earnings are worth less than today's earnings—this 8.5% rate determines how much we 'discount' benefits that occur 20-40 years from now. Updated from 3.72% based on validated source analysis.,"UPDATED Jan 2026: Value 3.72%→8.5%, Range 3-8%→6-10%. Murty & Panda (2020) derive: 8.5% (original Ramsey), 6% (extended with precautionary effect). For long-run investment projects, 8.5% appropriate. Term structure: 8% for 30yr projects, declining for longer horizons. Higher rate = more conservative NPV estimates.",δ,annual discount rate,0.05,0.03,0.08,murty_panda_2020_social_time_preference_rate_climate,
Real Wage Growth Rate [DEPRECATED],REAL_WAGE_GROWTH,4,24.7,,N/A,2,CT2,nominal_growth - inflation = 5.5% - 5.4% ≈ 0.01%,[DEPRECATED] Use REAL_WAGE_GROWTH_FORMAL and REAL_WAGE_GROWTH_INFORMAL instead. This single rate was replaced Jan 2026 to model growing inequality between sectors.,[DEPRECATED] Replaced by sector-specific growth rates. Formal sector sees 1.5%/year career progression; informal stagnates or declines. See REAL_WAGE_GROWTH_FORMAL and REAL_WAGE_GROWTH_INFORMAL.,DEPRECATED Jan 2026: Model now uses sector-specific rates to capture growing inequality. Formal workers get promotions and increments; informal workers face stagnation.,g,annual growth rate,0.0001,-0.01,0.01,PLFS_Annual_Report_23_24;    ILO_2024_25_Global_Wage_Report;    PLFS_changes_in_2025_Final,
Apprenticeship Program Completion Rate [Not in model],APPRENTICE_COMPLETION_RATE,,,,N/A,1,CT2,MSDE program data. completed / enrolled = 85%,"Based on MSDE program data showing 85% of enrolled apprentices complete their training. This is independent of the 72% placement rate—completion measures who finishes training, not who gets a formal job afterward.","15% of apprentices drop out before finishing—so for every 100 enrolled, only 85 complete training and become eligible for formal job placement. The remaining 15% leave due to low stipends, employer mismatches, or family financial pressures.","TIER 1 GAP: MSDE tracks but doesn't publish dropout rates. Trade variation: Manufacturing/engineering (80-90% completion), Services/hospitality (70-80%). Combined effect: P(Formal|Started) = 0.72 × 0.85 = 61.2% overall placement rate. Sensitivity: Test [75%, 85%, 95%].",P_complete,proportion,0.85,0.75,0.95,msde.gov.in  |   niti.gov.in  |   worldbank.org,https://msde.gov.in/annual-reports  |   https://www.niti.gov.in/sites/default/files/2023-06/Policy_Brief_India%27s_Booming_Gig_and_Platform_Economy_27062022.pdf  |   https://www.worldbank.org/en/country/india/publication/skilling-india
Apprenticeship Year 0 Net Opportunity Cost [DEPRECATED],APPRENTICE_YEAR_0_OPPORTUNITY_COST [DEPRECATED],,,,N/A,2,CT1,Stipend (₹120k) - counterfactual_wage (₹168k) = -₹49k,Calculated as stipend (₹120k/year) minus what the apprentice could have earned in informal work (₹168k/year per PLFS 2023-24). The negative value represents a real economic cost that must be recovered through higher post-training wages.,"During the training year, apprentices actually lose money compared to working informally—about ₹49,000 less. This is an investment: they sacrifice immediate earnings for better long-term job prospects.","Calculation: Stipend ₹10k/mo×12=₹120k vs Counterfactual ₹14k/mo×12=₹168k. Net: -₹48k≈-₹49k. Range: Pessimistic -₹80k (urban youth), Optimistic -₹20k (rural youth with limited alternatives). Impact: Reduces LNPV by ₹45-55k (4-5% of total). Added per Anand feedback (Dec 2025).",OC₀,INR/year,-49000,-80000,-20000,,
Working Life Duration (Formal Sector) [Excluded from sensitivity analysis- fixed structural assumptions],WORKING_LIFE_FORMAL,,,,N/A,,CT1,Statutory retirement age (60-62) minus typical entry age (22 for graduates),,"Formal sector has defined retirement age:
 - Government: 60 years (some states 58)
 - Private: 58-60 years (EPFO rules)
 - Recent proposal to raise to 62-65 (not yet implemented)
 
 Entry age:
 - Higher secondary + college: 22 years
 - Apprenticeship: 18-20 years
 
 Use 40 years (age 22-62) as baseline for college-educated.
 Use 42-44 years for apprentices (earlier entry).",,T_formal,years,40,42,3,,
